Link,Story_Line,Summary_Story_Line,Human_Edited
https://www.imdb.com/title/tt7335184/,"Based on Caroline Kepnes' best-selling novel of the same name, YOU is a 21st century love story that asks, ""What would you do for love?"" When a brilliant bookstore manager crosses paths with an aspiring writer, his answer becomes clear: anything. Using the internet and social media as his tools to gather the most intimate of details and get close to her, a charming and awkward crush quickly becomes obsession as he quietly and strategically removes every obstacle - and person - in his way.",New York Times bestselling author Caroline Kepnes returns to the big screen for the first time in more than a decade in the romantic comedy You.,
https://www.imdb.com/title/tt1520211/,"Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive.",The Walking Dead is a drama about a group of people living in a post-apocalyptic world.,
https://www.imdb.com/title/tt7767422/,"""Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance on the topic in his personal sex ed course -- living with mom Jean, who is a sex therapist. Being surrounded by manuals, videos and tediously open conversations about sex, Otis has become a reluctant expert on the subject. When his classmates learn about his home life, Otis decides to use his insider knowledge to improve his status at school, so he teams with whip-smart bad girl Maeve to set up an underground sex therapy clinic to deal with their classmates' problems. But through his analysis of teenage sexuality, Otis realizes that he may need some therapy of his own.","Check out the trailer for Otis & Maeve, a comedy about teenage sexuality.",
https://www.imdb.com/title/tt1844624/,"Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation.",The third and final season of the horror series The Haunting of Hill House is now available on Netflix.,
https://www.imdb.com/title/tt7660850/,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",The Roy family is known for controlling the biggest media and entertainment company in the world.,
https://www.imdb.com/title/tt0944947/,"In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea.","Game of Thrones returns for its seventh season on Sunday, 16 April at 21:00 BST on BBC One.",
https://www.imdb.com/title/tt2379713/,"A cryptic message from the past sends James Bond (Daniel Craig) on a rogue mission to Mexico City and eventually Rome, where he meets Lucia Sciarra (Monica Belluci), the beautiful and forbidden widow of an infamous criminal. Bond infiltrates a secret meeting and uncovers the existence of the sinister organisation known as S.P.E.C.T.R.E. Meanwhile, back in London, Max Denbigh (Andrew Scott), the new head of the Centre of National Security, questions Bond's actions and challenges the relevance of MI6, led by M (Ralph Fiennes). Bond covertly enlists Miss Eve Moneypenny (Naomie Harris) and Q (Ben Whishaw) to help him seek out Dr. Madeleine Swann (Léa Seydoux), the daughter of his old nemesis Mr. White (Jesper Christensen), who may hold the clue to untangling the web of S.P.E.C.T.R.E. As the daughter of the assassin, she understands Bond in a way most others cannot. As Bond ventures towards the heart of S.P.E.C.T.R.E., he learns a chilling connection between him and the enemy he seeks.","James Bond returns to the big screen in Spectre, the 24th film in the series.",
https://www.imdb.com/title/tt7203552/,"After a fallout with their previous morning show co-host, the popular but #MeToo-scandal-ridden Mitch Kessler, a New York City TV station hires a new spunky journalist, the progressive and hotheaded southern girl Bradley Jackson, as the new co-host. The scheming station head manager Cory Ellison sees in her the chance to push his career further. The show's other popular co-host Alex Levy, disgruntled by the fact that she has to take in a newbie, tries to use this new situation to make her own power move and turn Bradley into an ally. Meanwhile, Mitch refuses to accept defeat and tries to take everyone in the station who knew about his sexual abuse scandal but said nothing down with him. Other characters include Chip Black, the show's cynical top producer and program organizer, Hannah Shoenfeld, the station's employee and Mitch's emotionally gutted silent victim, Yanko Flores, a romantic and the Morning Show's most popular reporter, Claire Conway, a British junior employee of the station and Yanko's smitten secret girlfriend, and Fred, the station's sleazy chief executive who tried to help Mitch cover up the scandal.",USA Network has ordered a second season of the comedy series The Big Bang Theory.,
https://www.imdb.com/title/tt7949218/,"In the early twenty-first century, a virus wiped out all human beings but some who survived lost their sense of sight. See takes place several centuries later, where society has found new ways to socially interact, build, hunt, and survive without vision.",See is a new video game set in a post-apocalyptic world.,
https://www.imdb.com/title/tt4052886/,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice.","Based on the comic book series of the same name by Vertigo, the series stars Tom Hiddleston as Lucifer, a nightclub bouncer turned superhero.",
